time,s,E1,i,E1---s,E2---i,p,E2
100139560,1118,29,592,1,0,289,50
100301464,1117,30,593,0,0,290,50
100434350,1115,29,593,1,0,291,50
100445240,1114,30,595,0,0,291,50
100631540,1112,29,595,1,0,292,50
100922990,1111,30,597,0,0,292,50
101043820,1108,29,599,1,0,292,50
101103100,1106,30,602,0,0,292,50
101326070,1104,29,603,1,0,292,50
101476280,1104,30,602,0,0,294,50
101663650,1102,30,603,0,1,294,49
101743640,1101,30,603,0,0,296,50
101932104,1100,30,603,0,1,296,49
102143624,1098,30,606,0,0,296,50
102483640,1097,29,604,1,0,298,50
102593300,1097,30,604,0,0,299,50
102855110,1096,29,602,1,0,301,50
102967160,1096,30,601,0,0,303,50
103036900,1095,30,600,0,1,304,49
103078550,1095,30,599,0,0,306,50
103259336,1094,29,598,1,0,307,50
103395624,1092,30,601,0,0,307,50
103559144,1091,30,601,0,1,307,49
103747140,1091,30,599,0,0,310,50
103809810,1090,30,598,0,1,311,49
103906460,1089,30,599,0,0,312,50
103951470,1088,30,599,0,1,312,49
103955896,1087,30,600,0,0,313,50
104209200,1084,29,602,1,0,313,50
104371390,1084,30,601,0,0,315,50
104502460,1082,29,601,1,0,316,50
104755320,1082,30,601,0,0,317,50
105201110,1080,29,601,1,0,318,50
105499330,1080,30,601,0,0,319,50
105626424,1079,29,600,1,0,320,50
105720744,1077,30,603,0,0,320,50
105764890,1074,29,605,1,0,320,50
105987750,1074,30,605,0,0,321,50
106419704,1073,30,604,0,1,322,49
106676780,1072,30,604,0,0,324,50
106866690,1070,29,604,1,0,325,50
107049784,1070,30,605,0,0,325,50
107112740,1069,30,605,0,1,325,49
107352100,1069,30,603,0,0,328,50
107608460,1067,29,603,1,0,329,50
107770100,1067,30,604,0,0,329,50
108222310,1066,30,603,0,1,330,49
108459910,1065,30,603,0,0,332,50
108763850,1064,29,601,1,0,334,50
108812810,1063,30,602,0,0,335,50
109163800,1062,29,600,1,0,337,50
109661830,1060,30,603,0,0,337,50
109836820,1057,29,605,1,0,337,50
110008340,1056,30,606,0,0,338,50
110248000,1055,30,605,0,1,339,49
110290700,1055,30,603,0,0,342,50
110427340,1053,29,603,1,0,343,50
110626430,1053,30,602,0,0,345,50
111068570,1052,30,601,0,1,346,49
111148104,1052,30,600,0,0,348,50
111613580,1050,29,601,1,0,348,50
111644690,1050,30,600,0,0,350,50
111830480,1047,29,602,1,0,350,50
111861660,1046,30,603,0,0,351,50
112044136,1044,29,603,1,0,352,50
112242260,1043,30,605,0,0,352,50
112440210,1042,29,603,1,0,354,50
112730216,1041,30,604,0,0,355,50
112984024,1040,30,603,0,1,356,49
113169180,1040,30,601,0,0,359,50
113240104,1039,30,600,0,1,360,49
113571300,1039,30,599,0,0,362,50
113962450,1036,29,601,1,0,362,50
114167760,1035,30,602,0,0,363,50
114335150,1035,30,599,0,1,365,49
114460770,1035,30,597,0,0,368,50
114629180,1034,30,596,0,1,369,49
115251736,1032,30,598,0,0,370,50
115555150,1029,29,600,1,0,370,50
115685500,1029,30,599,0,0,372,50
115866700,1027,30,600,0,1,372,49
116042856,1027,30,598,0,0,375,50
116346690,1025,29,599,1,0,375,50
116480584,1023,30,602,0,0,375,50
116658720,1023,30,599,0,1,377,49
116944856,1022,30,599,0,0,379,50
117210300,1019,29,601,1,0,379,50
117311544,1018,30,602,0,0,380,50
117459490,1017,29,601,1,0,381,50
117561544,1016,30,602,0,0,382,50
117874800,1014,30,603,0,1,382,49
117953790,1014,30,601,0,0,385,50
118298880,1014,30,598,0,1,387,49
118405800,1014,30,596,0,0,390,50
118729100,1012,29,596,1,0,391,50
118792140,1011,30,597,0,0,392,50
118967440,1009,29,597,1,0,393,50
119032480,1008,30,598,0,0,394,50
119154300,1006,29,598,1,0,395,50
119285656,1006,30,598,0,0,396,50
119648530,1006,30,595,0,1,398,49
119720060,1004,30,597,0,0,399,50
119932984,1003,30,596,0,1,400,49
120110560,1002,30,596,0,0,402,50
120575170,1001,30,595,0,1,403,49
120819910,999,30,597,0,0,404,50
120996820,998,29,595,1,0,406,50
121182490,997,30,596,0,0,407,50
121562040,995,29,596,1,0,408,50
121613420,994,30,598,0,0,408,50
121820100,992,30,599,0,1,408,49
121966320,991,30,599,0,0,410,50
122075250,990,29,597,1,0,412,50
122223870,989,30,598,0,0,413,50
122404740,987,29,598,1,0,414,50
122646580,986,30,600,0,0,414,50
123027510,984,29,600,1,0,415,50
123123070,982,30,603,0,0,415,50
123406200,980,30,604,0,1,415,49
123654930,979,30,604,0,0,417,50
123952776,978,30,603,0,1,418,49
124313300,978,30,601,0,0,421,50
124505510,977,29,599,1,0,423,50
124673060,976,30,600,0,0,424,50
124948680,974,29,600,1,0,425,50
125435710,972,30,603,0,0,425,50
125545896,971,30,602,0,1,426,49
125602936,969,30,604,0,0,427,50
125731310,967,29,605,1,0,427,50
125742376,967,30,604,0,0,429,50
125977050,965,29,604,1,0,430,50
126314710,964,30,605,0,0,431,50
126468000,964,30,602,0,1,433,49
126575624,962,30,604,0,0,434,50
126847070,959,29,606,1,0,434,50
126969976,957,30,609,0,0,434,50
127064270,957,30,606,0,1,436,49
127104650,955,30,608,0,0,437,50
127270000,955,30,605,0,1,439,49
127397720,955,30,603,0,0,442,50
127464616,953,30,604,0,1,442,49
127520770,952,30,605,0,0,443,50
127692744,951,29,604,1,0,444,50
127956700,949,30,607,0,0,444,50
128053816,947,30,608,0,1,444,49
128138010,946,30,608,0,0,446,50
128221310,946,30,605,0,1,448,49
128301270,946,30,603,0,0,451,50
128634630,944,30,604,0,1,451,49
129225864,942,30,606,0,0,452,50
129561670,941,29,604,1,0,454,50
129591780,940,30,606,0,0,454,50
129797620,938,29,606,1,0,455,50
129880370,938,30,605,0,0,457,50
130170904,938,30,603,0,1,458,49
130479710,937,30,604,0,0,459,50
130682310,935,30,605,0,1,459,49
130776940,933,30,607,0,0,460,50
130986030,930,29,609,1,0,460,50
131457944,929,30,610,0,0,461,50
131732200,927,29,610,1,0,462,50
131829496,926,30,611,0,0,463,50
132293256,924,30,612,0,1,463,49
132470370,923,30,612,0,0,465,50
132574130,923,30,609,0,1,467,49
132781816,923,30,608,0,0,469,50
132863210,923,30,605,0,1,471,49
132946400,923,30,604,0,0,473,50
133315630,923,30,602,0,1,474,49
133468530,922,30,603,0,0,475,50
133795016,921,30,602,0,1,476,49
133837160,921,30,601,0,0,478,50
134104010,920,30,600,0,1,479,49
134193400,919,30,600,0,0,481,50
134472260,918,29,598,1,0,483,50
134532020,919,30,596,0,0,485,50
134876100,917,29,596,1,0,486,50
135182190,915,30,599,0,0,486,50
135527400,914,29,597,1,0,488,50
135669860,912,30,600,0,0,488,50
135885440,911,30,599,0,1,489,49
136416340,911,30,597,0,0,492,50
136822020,911,30,594,0,1,494,49
137184880,911,30,593,0,0,496,50
137865950,910,30,592,0,1,497,49
137884130,909,30,592,0,0,499,50
138136540,907,30,593,0,1,499,49
138237620,905,30,595,0,0,500,50
138598420,904,29,593,1,0,502,50
138625700,904,30,592,0,0,504,50
138710400,903,29,590,1,0,506,50
138813360,902,30,592,0,0,506,50
139269890,902,30,589,0,1,508,49
139408060,902,30,587,0,0,511,50
139602190,901,30,586,0,1,512,49
140033280,901,30,584,0,0,515,50
140469660,898,29,586,1,0,515,50
140608930,897,30,587,0,0,516,50
140855040,895,29,587,1,0,517,50
141049580,895,30,587,0,0,518,50
141768420,895,30,584,0,1,520,49
142246140,895,30,582,0,0,523,50
142547220,895,30,579,0,1,525,49
142577230,894,30,579,0,0,527,50
142976670,892,29,579,1,0,528,50
142991710,891,30,581,0,0,528,50
143174620,889,29,582,1,0,528,50
143272430,889,30,581,0,0,530,50
143642350,886,29,583,1,0,530,50
143826130,885,30,584,0,0,531,50
144154430,883,29,585,1,0,531,50
144375220,882,30,586,0,0,532,50
144654380,881,29,584,1,0,534,50
144784450,880,30,585,0,0,535,50
145284160,878,29,586,1,0,535,50
145424560,878,30,585,0,0,537,50
145606340,877,30,584,0,1,538,49
145707650,877,30,582,0,0,541,50
